product_id,category,unit_price,active_flag
CP0001,Electronics,435.76,1
CP0002,Grocery,294.76,1
CP0003,Home,65.87,1
CP0004,Home,90.32,1
CP0005,Grocery,153.89,1
CP0006,Home,162.74,1
CP0007,Grocery,417.56,1
CP0008,Grocery,8.51,1
CP0009,Fashion,129.37,1
CP0010,Electronics,303.85,1
CP0011,Fashion,321.36,1
CP0012,Fashion,8.61,1
CP0013,Grocery,379.99,1
CP0014,Fashion,207.84,1
CP0015,Electronics,32.68,1
CP0016,Fashion,234.1,0
CP0017,Home,144.56,1
CP0018,Home,90.76,1
CP0019,Fashion,380.74,1
CP0020,Fashion,424.13,1
CP0021,Grocery,190.46,1
CP0022,Home,178.51,1
CP0023,Electronics,128.69,1
CP0024,Electronics,68.19,1
CP0025,Grocery,147.69,1
CP0026,Electronics,349.01,1
CP0027,Electronics,168.68,1
CP0028,Fashion,383.9,1
CP0029,Electronics,218.05,1
CP0030,Electronics,151.67,1
CP0031,Electronics,261.77,1
CP0032,Electronics,289.88,1
CP0033,Grocery,449.88,1
CP0034,Grocery,41.18,1
CP0035,Fashion,196.28,1
CP0036,Home,272.34,1
CP0037,Grocery,178.51,1
CP0038,Fashion,104.12,1
CP0039,Electronics,59.66,0
CP0040,Electronics,444.16,1
CP0041,Grocery,90.4,0
CP0042,Grocery,476.36,1
CP0043,Electronics,170.58,1
CP0044,Home,388.45,1
CP0045,Grocery,279.83,1
CP0046,Electronics,115.72,1
CP0047,Home,381.0,0
CP0048,Grocery,298.42,1
CP0049,Electronics,476.83,1
CP0050,Home,351.73,1
CP0051,Fashion,51.14,1
CP0052,Home,457.34,1
CP0053,Electronics,29.02,1
CP0054,Electronics,30.72,1
CP0055,Fashion,267.28,1
CP0056,Grocery,357.8,1
CP0057,Fashion,437.78,1
CP0058,Home,44.25,1
CP0059,Grocery,226.64,1
CP0060,Electronics,349.62,1
CP0061,Electronics,174.08,0
CP0062,Home,292.32,0
CP0063,Home,348.06,1
CP0064,Grocery,272.14,1
CP0065,Home,229.55,0
CP0066,Electronics,142.92,1
CP0067,Home,34.83,1
CP0068,Grocery,472.12,0
CP0069,Fashion,37.88,1
CP0070,Grocery,100.66,1
CP0071,Home,364.61,1
CP0072,Electronics,410.68,1
CP0073,Home,426.37,1
CP0074,Fashion,159.83,1
CP0075,Fashion,374.81,1
CP0076,Home,98.64,1
CP0077,Fashion,452.72,1
CP0078,Fashion,450.26,1
CP0079,Fashion,362.34,1
CP0080,Grocery,347.41,1
CP0081,Grocery,417.58,1
CP0082,Grocery,28.84,1
CP0083,Electronics,415.91,1
CP0084,Electronics,425.26,1
CP0085,Home,275.94,1
CP0086,Grocery,357.52,1
CP0087,Home,112.17,1
CP0088,Fashion,444.82,1
CP0089,Electronics,320.1,1
CP0090,Electronics,443.48,1
CP0091,Home,307.82,1
CP0092,Fashion,445.08,1
CP0093,Fashion,295.33,1
CP0094,Grocery,429.58,1
CP0095,Electronics,476.65,1
CP0096,Fashion,86.9,1
CP0097,Fashion,388.13,0
CP0098,Home,446.24,1
CP0099,Grocery,212.01,1
CP0100,Electronics,390.13,1
CP0101,Fashion,117.91,1
CP0102,Grocery,14.5,1
CP0103,Grocery,35.51,1
CP0104,Grocery,336.96,1
CP0105,Fashion,393.14,1
CP0106,Home,248.31,1
CP0107,Electronics,393.83,1
CP0108,Fashion,488.25,1
CP0109,Home,450.77,1
CP0110,Grocery,403.22,1
CP0111,Home,154.0,0
CP0112,Home,335.7,1
CP0113,Home,315.37,1
CP0114,Fashion,364.27,1
CP0115,Electronics,378.66,1
CP0116,Home,428.03,1
CP0117,Electronics,210.4,1
CP0118,Grocery,242.08,0
CP0119,Electronics,426.01,1
CP0120,Grocery,22.21,1
CP0121,Electronics,331.45,1
CP0122,Fashion,33.22,1
CP0123,Home,101.25,1
CP0124,Electronics,406.53,1
CP0125,Electronics,392.43,0
CP0126,Grocery,388.46,1
CP0127,Electronics,344.3,1
CP0128,Grocery,236.35,1
CP0129,Home,135.74,1
CP0130,Electronics,6.66,1
CP0131,Electronics,31.2,1
CP0132,Electronics,205.2,1
CP0133,Grocery,222.75,1
CP0134,Electronics,314.47,1
CP0135,Grocery,147.12,1
CP0136,Home,247.73,1
CP0137,Fashion,493.4,1
CP0138,Grocery,89.29,1
CP0139,Home,163.09,1
CP0140,Fashion,499.04,1
CP0141,Home,440.23,1
CP0142,Home,110.66,1
CP0143,Electronics,276.23,1
CP0144,Electronics,399.53,1
CP0145,Electronics,112.41,1
CP0146,Home,43.09,0
CP0147,Fashion,397.04,1
CP0148,Home,19.94,1
CP0149,Fashion,225.34,1
CP0150,Home,285.24,1
CP0151,Fashion,16.52,1
CP0152,Grocery,289.95,1
CP0153,Home,59.46,1
CP0154,Home,418.08,1
CP0155,Electronics,165.23,1
CP0156,Fashion,347.59,1
CP0157,Electronics,398.1,1
CP0158,Fashion,380.97,1
CP0159,Electronics,287.12,1
CP0160,Grocery,366.34,1
CP0161,Electronics,367.93,1
CP0162,Fashion,368.2,0
CP0163,Electronics,487.55,0
CP0164,Grocery,269.33,1
CP0165,Grocery,323.08,1
CP0166,Fashion,434.07,0
CP0167,Grocery,312.24,1
CP0168,Electronics,233.55,1
CP0169,Grocery,374.64,1
CP0170,Electronics,178.12,1
CP0171,Fashion,354.42,1
CP0172,Fashion,170.44,1
CP0173,Fashion,37.7,1
CP0174,Electronics,202.58,1
CP0175,Grocery,323.91,1
CP0176,Fashion,483.56,1
CP0177,Home,247.78,1
CP0178,Grocery,153.04,1
CP0179,Electronics,117.53,1
CP0180,Electronics,350.98,1
CP0181,Grocery,329.72,1
CP0182,Electronics,474.27,1
CP0183,Electronics,216.0,1
CP0184,Fashion,128.73,0
CP0185,Fashion,133.58,1
CP0186,Home,47.42,1
CP0187,Home,63.01,1
CP0188,Fashion,113.99,1
CP0189,Grocery,338.32,1
CP0190,Electronics,492.32,1
CP0191,Fashion,208.61,1
CP0192,Grocery,33.0,1
CP0193,Grocery,211.52,1
CP0194,Grocery,361.92,1
CP0195,Electronics,315.93,1
CP0196,Electronics,63.71,1
CP0197,Electronics,239.9,1
CP0198,Fashion,12.78,1
CP0199,Electronics,321.31,1
CP0200,Electronics,289.51,1
CP0201,Electronics,488.91,1
CP0202,Grocery,348.37,1
CP0203,Electronics,405.34,0
CP0204,Electronics,91.53,1
CP0205,Home,74.82,1
CP0206,Grocery,476.22,1
CP0207,Grocery,130.15,1
CP0208,Electronics,191.7,1
CP0209,Home,289.36,1
CP0210,Home,68.44,1
CP0211,Grocery,146.94,1
CP0212,Grocery,302.55,1
CP0213,Electronics,276.72,1
CP0214,Electronics,29.94,1
CP0215,Home,166.71,1
CP0216,Fashion,379.07,1
CP0217,Fashion,183.84,1
CP0218,Grocery,101.94,1
CP0219,Fashion,79.4,1
CP0220,Home,27.14,1
CP0221,Fashion,128.73,1
CP0222,Home,51.16,1
CP0223,Home,185.9,1
CP0224,Home,165.33,1
CP0225,Grocery,350.09,1
CP0226,Electronics,49.92,1
CP0227,Home,315.29,1
CP0228,Electronics,82.21,0
CP0229,Grocery,103.82,1
CP0230,Grocery,25.91,1
CP0231,Electronics,234.48,1
CP0232,Grocery,138.22,1
CP0233,Fashion,206.1,1
CP0234,Electronics,397.59,1
CP0235,Fashion,361.75,1
CP0236,Electronics,303.85,0
CP0237,Fashion,484.57,1
CP0238,Home,387.88,1
CP0239,Fashion,126.77,1
CP0240,Grocery,390.67,1
CP0241,Grocery,127.22,0
CP0242,Home,171.87,1
CP0243,Grocery,37.34,1
CP0244,Home,203.53,1
CP0245,Grocery,145.49,0
CP0246,Grocery,213.42,0
CP0247,Grocery,50.31,1
CP0248,Fashion,407.51,1
CP0249,Electronics,118.47,1
CP0250,Electronics,189.54,1
CP0251,Home,57.07,1
CP0252,Home,293.01,1
CP0253,Grocery,270.84,0
CP0254,Fashion,11.13,1
CP0255,Home,135.95,1
CP0256,Fashion,339.66,1
CP0257,Home,295.18,1
CP0258,Electronics,16.23,1
CP0259,Home,216.08,1
CP0260,Home,225.47,1
CP0261,Fashion,218.75,1
CP0262,Electronics,496.7,1
CP0263,Electronics,372.73,1
CP0264,Home,35.07,1
CP0265,Fashion,333.04,1
CP0266,Electronics,99.7,1
CP0267,Electronics,348.85,1
CP0268,Electronics,471.45,1
CP0269,Home,487.73,1
CP0270,Fashion,355.01,1
CP0271,Electronics,265.35,0
CP0272,Home,170.57,1
CP0273,Fashion,46.88,1
CP0274,Home,450.97,1
CP0275,Electronics,119.14,1
CP0276,Fashion,385.4,1
CP0277,Fashion,291.6,1
CP0278,Electronics,241.96,1
CP0279,Fashion,222.35,1
CP0280,Grocery,466.51,1
CP0281,Fashion,369.92,1
CP0282,Electronics,35.2,1
CP0283,Grocery,371.16,1
CP0284,Home,410.19,1
CP0285,Fashion,267.41,1
CP0286,Electronics,73.08,1
CP0287,Home,23.87,1
CP0288,Electronics,471.33,1
CP0289,Grocery,75.47,1
CP0290,Grocery,37.98,1
CP0291,Electronics,83.69,1
CP0292,Fashion,22.0,1
CP0293,Fashion,351.71,1
CP0294,Grocery,260.37,1
CP0295,Grocery,346.36,1
CP0296,Fashion,117.67,1
CP0297,Grocery,293.7,1
CP0298,Home,183.72,1
CP0299,Fashion,443.53,1
CP0300,Grocery,105.17,1
CP0301,Home,477.73,0
CP0302,Grocery,475.93,1
CP0303,Electronics,197.42,1
CP0304,Grocery,323.21,1
CP0305,Home,166.77,1
CP0306,Home,484.41,1
CP0307,Electronics,451.21,1
CP0308,Home,389.65,1
CP0309,Home,379.56,1
CP0310,Electronics,320.22,1
CP0311,Grocery,108.98,1
CP0312,Home,325.59,0
CP0313,Electronics,434.65,1
CP0314,Grocery,212.26,1
CP0315,Grocery,403.72,1
CP0316,Electronics,175.27,1
CP0317,Home,450.32,1
CP0318,Electronics,210.51,1
CP0319,Grocery,264.31,1
CP0320,Home,5.36,1
CP0321,Home,480.12,1
CP0322,Electronics,433.13,0
CP0323,Electronics,383.71,1
CP0324,Home,44.26,1
CP0325,Home,400.94,1
CP0326,Electronics,318.71,1
CP0327,Fashion,141.1,1
CP0328,Electronics,181.76,1
CP0329,Fashion,426.3,1
CP0330,Grocery,406.24,1
CP0331,Home,460.61,1
CP0332,Home,226.04,1
CP0333,Grocery,101.68,0
CP0334,Grocery,422.47,0
CP0335,Electronics,152.32,1
CP0336,Grocery,128.16,1
CP0337,Fashion,398.52,1
CP0338,Home,353.21,1
CP0339,Fashion,43.24,1
CP0340,Grocery,30.22,1
CP0341,Grocery,467.64,1
CP0342,Grocery,385.52,1
CP0343,Electronics,489.98,1
CP0344,Fashion,444.62,1
CP0345,Grocery,121.33,1
CP0346,Home,20.6,0
CP0347,Grocery,243.37,1
CP0348,Home,320.83,1
CP0349,Grocery,119.43,1
CP0350,Grocery,87.73,0
CP0351,Grocery,319.22,1
CP0352,Grocery,470.21,1
CP0353,Grocery,248.72,1
CP0354,Home,198.29,1
CP0355,Electronics,317.7,1
CP0356,Electronics,446.55,1
CP0357,Grocery,410.84,1
CP0358,Fashion,333.74,1
CP0359,Grocery,277.37,1
CP0360,Grocery,298.06,1
CP0361,Grocery,255.26,1
CP0362,Grocery,50.7,1
CP0363,Electronics,85.84,1
CP0364,Home,177.42,1
